Gene	ckcc_reference/TCGA-MP-A4T4-01	ckcc_reference/TCGA-KK-A8IG-01	ckcc_reference/TCGA-A8-A09Z-01	ckcc_reference/TCGA-DD-AAW1-01	ckcc_reference/TCGA-YL-A8SB-01	ckcc_reference/TCGA-HC-7817-01	ckcc_reference/TCGA-06-0649-01	ckcc_reference/TCGA-C5-A1BE-01	ckcc_reference/TARGET-21-PATISD-09	ckcc_reference/TCGA-K4-A5RH-01
ABCA12	8.7906999588	0.869000017643	4.79939985275	0.985099971294	1.98179996014	3.2063999176	3.72059988976	8.6672000885	1.36029994488	2.75530004501
ABCA13	9.39470005035	3.9117000103	2.80029988289	0.0	0.0	1.61240005493	8.93169975281	11.7323999405	5.32859992981	5.13339996338
ABCA17P	3.25200009346	3.9117000103	2.52920007706	0.0	3.59240007401	2.69759988785	7.86719989777	8.04860019684	3.58159995079	4.34409999847
ABCA2	11.7027997971	11.2437000275	11.7757997513	11.3402004242	11.3494997025	11.1014995575	12.7217998505	9.46300029755	10.2988004684	10.6393995285
ABCA3	11.2396001816	12.2322998047	11.8765001297	7.10979986191	10.8270998001	10.5008001328	12.0892000198	10.2677001953	7.06860017776	10.3003997803
ABCA4	7.33510017395	2.76239991188	6.79909992218	7.46199989319	3.6779999733	4.96250009537	5.30670022964	1.79100000858	0.0	4.99160003662
ABCA5	8.81569957733	10.1785001755	10.1155996323	10.6695995331	10.0963001251	9.61149978638	10.1511001587	10.3607997894	9.61019992828	7.97039985657
ABCA6	7.78889989853	6.81470012665	5.78889989853	13.0989999771	6.90369987488	5.88999986649	5.85430002213	5.00019979477	4.41790008545	5.82969999313
ABCA7	10.7685003281	8.84189987183	10.6835002899	7.43779993057	9.04720020294	9.20170021057	9.71870040894	10.6398000717	8.53489971161	9.4811000824
ABCA8	7.57100009918	9.36019992828	4.04530000687	11.7705001831	9.2702999115	9.12930011749	10.9369001389	3.97849988937	3.14359998703	7.02239990234
ABCA9	8.10949993134	7.1861000061	5.57079982758	6.91279983521	5.32499980927	5.76819992065	6.65089988708	4.10769987106	2.86190009117	6.49429988861
ABCA9-AS1	0.0	0.0	0.0	0.0	0.0	0.0	1.0109000206	0.0	0.0	0.0
ABCB1	7.89099979401	9.1626996994	6.63250017166	11.9588003159	8.40950012207	10.1099004745	8.42570018768	5.12750005722	4.51999998093	8.01640033722
ABCB10	8.83790016174	9.4343996048	10.2566003799	10.5274000168	9.81589984894	9.63080024719	8.67640018463	9.38440036774	8.80640029907	9.99300003052
ABCB10P1	1.73360002041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.496499985456
ABCB10P3	0.0	0.0	1.14079999924	0.985099971294	0.0	2.04769992828	2.0164000988	0.0	0.0	0.0
ABCB10P4	0.0	0.0	1.1290999651	1.0882999897	0.897499978542	0.0	0.0	0.0	0.0	0.513300001621
ABCB11	2.99580001831	0.0	0.0	11.546500206	0.79699999094	0.0	3.72059988976	0.98860001564	0.0	0.0
ABCB4	4.69350004196	6.09880018234	4.87050008774	13.8569002151	5.2782998085	5.71810007095	7.62370014191	2.98000001907	3.75909996033	5.26590013504
ABCB5	0.0	3.33500003815	0.0	0.0	1.30739998817	3.49679994583	0.0	0.0	0.0	4.77050018311
ABCB6	9.75430011749	10.3443002701	9.53310012817	11.1042003632	10.5235996246	11.0349998474	10.2336997986	10.192700386	7.97149991989	8.05410003662
ABCB9	7.84730005264	6.69320011139	7.72230005264	5.47310018539	7.44089984894	6.68930006027	8.52960014343	8.19849967957	7.3545999527	8.00230026245
ABCC1	11.398900032	11.3212995529	11.0453996658	8.28750038147	11.4422998428	11.2458000183	10.4554004669	11.7979001999	12.5900001526	10.7298002243
ABCC11	2.4986000061	5.56850004196	4.37559986115	6.9172000885	4.86129999161	10.1224002838	6.11320018768	3.44519996643	1.38650000095	3.1438999176
ABCC12	0.82800000906	0.0	0.0	0.0	0.0	5.27519989014	6.96409988403	0.0	0.0	0.0
ABCC13	0.82800000906	0.0	0.675000011921	0.0	3.40420007706	0.0	3.34159994125	3.14960002899	0.0	0.0
ABCC2	4.89149999619	4.49109983444	2.91880011559	14.029999733	4.8220000267	3.09500002861	4.10799980164	4.18779993057	5.21140003204	3.1384999752
ABCC3	13.0696001053	7.28879976273	7.9984998703	12.5532999039	10.1838998795	9.03999996185	13.3025999069	7.48500013351	5.88250017166	10.7896003723
ABCC4	9.04689979553	13.7062997818	6.2283000946	4.97100019455	14.0134000778	14.79529953	9.82429981232	8.36950016022	9.28730010986	10.1758003235
ABCC5	10.7524003983	10.2160997391	9.54549980164	8.15989971161	10.3479995728	9.39780044556	10.9028997421	15.2210998535	10.4885997772	10.0607004166
ABCC6	9.33810043335	6.02470016479	5.04699993134	13.3766002655	7.02489995956	6.57229995728	7.30709981918	3.14960002899	9.0234003067	6.56050014496
